,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
62,2020-06-12,223.77154696516087,132.5670624254473,297.9774037064497,223.77154696516087,223.77154696516087,-7.7605618433558,-7.7605618433558,-7.7605618433558,-7.7605618433558,-7.7605618433558,-7.7605618433558,0.0,0.0,0.0,216.01098512180508
63,2020-06-15,229.22497145398978,133.0521448870629,310.5497133161652,229.22497145398978,229.22497145398978,-5.865511429712857,-5.865511429712857,-5.865511429712857,-5.865511429712857,-5.865511429712857,-5.865511429712857,0.0,0.0,0.0,223.35946002427693
64,2020-06-16,231.04277961693276,141.80942550226226,317.62795995406304,231.04277961693276,231.04277961693276,-2.3886757936795426,-2.3886757936795426,-2.3886757936795426,-2.3886757936795426,-2.3886757936795426,-2.3886757936795426,0.0,0.0,0.0,228.65410382325322
65,2020-06-17,232.9158720623166,138.6613684100596,315.9812782156722,232.9158720623166,232.9158720623166,-3.496042567142551,-3.496042567142551,-3.496042567142551,-3.496042567142551,-3.496042567142551,-3.496042567142551,0.0,0.0,0.0,229.41982949517404
66,2020-06-18,234.7889645077005,148.31273719102578,318.90934995789013,234.7889645077005,234.7889645077005,-3.844837976928967,-3.844837976928967,-3.844837976928967,-3.844837976928967,-3.844837976928967,-3.844837976928967,0.0,0.0,0.0,230.94412653077154
67,2020-06-19,236.66205695308435,147.4794081748847,314.7080375040131,236.66205695308435,236.66205695308435,-7.7605618433427175,-7.7605618433427175,-7.7605618433427175,-7.7605618433427175,-7.7605618433427175,-7.7605618433427175,0.0,0.0,0.0,228.90149510974163
68,2020-06-22,242.28133428923596,152.0163609288114,325.2988116944776,242.28133428923596,242.28133428923596,-5.8655114297058715,-5.8655114297058715,-5.8655114297058715,-5.8655114297058715,-5.8655114297058715,-5.8655114297058715,0.0,0.0,0.0,236.4158228595301
69,2020-06-23,244.15442673461982,161.3859789608047,333.42961455431566,244.15442673461982,244.15442673461982,-2.388675793659722,-2.388675793659722,-2.388675793659722,-2.388675793659722,-2.388675793659722,-2.388675793659722,0.0,0.0,0.0,241.7657509409601
70,2020-06-24,246.02751918000368,156.0077937539569,330.6178191659705,246.02751918000368,246.02751918000368,-3.496042567141975,-3.496042567141975,-3.496042567141975,-3.496042567141975,-3.496042567141975,-3.496042567141975,0.0,0.0,0.0,242.5314766128617
71,2020-06-25,247.90061162538757,155.2451498930398,329.49643749352,247.90061162538757,247.90061162538757,-3.8448379769054934,-3.8448379769054934,-3.8448379769054934,-3.8448379769054934,-3.8448379769054934,-3.8448379769054934,0.0,0.0,0.0,244.05577364848207
72,2020-06-26,249.77370407077143,156.37804162355687,328.8775362263561,249.77370407077143,249.77370407077143,-7.7605618433296355,-7.7605618433296355,-7.7605618433296355,-7.7605618433296355,-7.7605618433296355,-7.7605618433296355,0.0,0.0,0.0,242.0131422274418
73,2020-06-29,255.55703703707852,159.28233612978258,333.47256023434375,255.55703703707852,255.55703703707852,-5.8655114297188,-5.8655114297188,-5.8655114297188,-5.8655114297188,-5.8655114297188,-5.8655114297188,0.0,0.0,0.0,249.69152560735972
74,2020-06-30,257.48481469251425,169.51612353152663,339.4395832356022,257.48481469251425,257.48481469251425,-2.3886757936639613,-2.3886757936639613,-2.3886757936639613,-2.3886757936639613,-2.3886757936639613,-2.3886757936639613,0.0,0.0,0.0,255.09613889885028
75,2020-07-01,259.41259234794995,168.3746845986989,343.38535738350197,259.41259234794995,259.41259234794995,-3.496042567138821,-3.496042567138821,-3.496042567138821,-3.496042567138821,-3.496042567138821,-3.496042567138821,0.0,0.0,0.0,255.91654978081112
76,2020-07-02,261.3403700033856,169.02512137342987,345.66605148367336,261.3403700033856,261.3403700033856,-3.8448379769131615,-3.8448379769131615,-3.8448379769131615,-3.8448379769131615,-3.8448379769131615,-3.8448379769131615,0.0,0.0,0.0,257.49553202647246
